label,language,comment
relationship_issues,bangla,আমি আমার গার্লফ্রেন্ডকে তার এক্সকে টেক্সট করতে দেখেছি আর সে মিথ্যা বলেছে
relationship_issues,english,I cry every night because of my relationship problems
relationship_issues,english,I am afraid to speak my mind in this relationship
relationship_issues,bangla,আমার সন্দেহ হয় আমার সঙ্গী আমার কাছ থেকে কিছু লুকাচ্ছে
relationship_issues,english,My partner cheated on me and now I trust no one
relationship_issues,bangla,আমার বয়ফ্রেন্ড আমাকে মোটেই সম্মান করে না
relationship_issues,english,I gave my everything and she still left me for someone else
relationship_issues,english,We fight every single day I do not know how much more I can take
relationship_issues,english,My parents do not approve of my partner and it is tearing us apart
relationship_issues,bangla,এই সম্পর্কের জন্য এত ত্যাগ স্বীকার করেছি আর বিনিময়ে কিছুই পাইনি
relationship_issues,english,My partner gaslights me all the time I feel like I am going crazy
relationship_issues,bangla,এই বিষাক্ত সম্পর্কে আটকা পড়ে আছি
relationship_issues,bangla,যতই বোঝাই আমার সঙ্গী আমার অনুভূতি বোঝে না
relationship_issues,english,My boyfriend does not respect me at all
relationship_issues,english,We have become strangers living under the same roof
relationship_issues,english,I feel used and taken for granted in this relationship
relationship_issues,english,The silence between us is louder than any argument
relationship_issues,bangla,প্রতিদিন আমাদের ঝগড়া হয় আর কত সহ্য করব জানি না
relationship_issues,english,She compared me to her ex and it broke my heart
relationship_issues,english,I have lost myself trying to keep this relationship alive
relationship_issues,english,My partner cheated on me and now I trust no one
relationship_issues,english,We have become strangers living under the same roof
relationship_issues,bangla,গতকাল আমরা ব্রেকআপ করেছি আর আমার পৃথিবী শেষ হয়ে গেছে
relationship_issues,english,We have become strangers living under the same roof
relationship_issues,english,I feel so lonely even though I am in a relationship
relationship_issues,bangla,সে শুধু তখনই কথা বলে যখন তার কিছু প্রয়োজন
relationship_issues,bangla,প্রতি রাতে সম্পর্কের সমস্যা নিয়ে কেঁদে কাটাই
relationship_issues,bangla,যতই বোঝাই আমার সঙ্গী আমার অনুভূতি বোঝে না
relationship_issues,bangla,আমার সন্দেহ হয় আমার সঙ্গী আমার কাছ থেকে কিছু লুকাচ্ছে
relationship_issues,bangla,আমাদের মধ্যে নীরবতা যে কোনো ঝগড়ার চেয়ে জোরে কথা বলে
relationship_issues,bangla,সম্পর্কে থেকেও আমি ভীষণ একা অনুভব করি
relationship_issues,english,We broke up yesterday and I feel like my world ended
relationship_issues,bangla,প্রতি রাতে সম্পর্কের সমস্যা নিয়ে কেঁদে কাটাই
relationship_issues,bangla,সম্পর্কে থেকেও আমি ভীষণ একা অনুভব করি
relationship_issues,english,My partner is extremely possessive and controlling
relationship_issues,bangla,আমার সঙ্গী অত্যন্ত possessive এবং নিয়ন্ত্রণকারী
