label,language,comment
extreme_love,bangla,তোমার হাত ধরতে আমি সাগর পাড়ি দেব
extreme_love,english,I would cross the ocean just to hold your hand
extreme_love,bangla,তুমি আমার আসক্তি এবং আমি কখনো মুক্তি পেতে চাই না
extreme_love,english,I belong to you and only you forever
extreme_love,english,I cannot breathe when I think about you
extreme_love,bangla,তুমি ছাড়া আমি এক মুহূর্তও চলতে পারি না
extreme_love,bangla,আমি যতদিন বাঁচব আর কাউকে ভালোবাসব না
extreme_love,bangla,আমি তোমাকে ভালোবাসি যতটুকু ভাষায় প্রকাশ করা সম্ভব নয়
extreme_love,english,I cannot eat I cannot sleep I can only think of you
extreme_love,english,I have never loved anyone the way I love you
extreme_love,english,I would give up everything just to be with you
extreme_love,bangla,তোমার কথা ভাবলেই আমার শ্বাস বন্ধ হয়ে আসে
extreme_love,bangla,তুমি ছাড়া আমি এক মুহূর্তও চলতে পারি না
extreme_love,bangla,তুমিই একমাত্র যে আমার কাছে গুরুত্বপূর্ণ
extreme_love,bangla,তুমিই একমাত্র যে আমার কাছে গুরুত্বপূর্ণ
extreme_love,english,I have never loved anyone the way I love you
extreme_love,english,I think about you every single second of the day
extreme_love,english,You are my addiction and I never want to recover
extreme_love,bangla,আমি কখনো কাউকে এভাবে ভালোবাসিনি যেমন তোমাকে ভালোবাসি
extreme_love,english,My love for you is consuming me entirely
extreme_love,english,I would burn the world down to keep you safe
extreme_love,english,You are my first thought in the morning and my last at night
extreme_love,bangla,আমি যতদিন বাঁচব আর কাউকে ভালোবাসব না
extreme_love,bangla,তুমিই একমাত্র যে আমার কাছে গুরুত্বপূর্ণ
extreme_love,bangla,তুমি আমার শ্বাস বাতাস
extreme_love,english,I will never love anyone else as long as I live
extreme_love,bangla,তুমি ছাড়া এক মুহূর্তও কল্পনা করতে পারি না
extreme_love,bangla,শুধু তোমার সাথে থাকার জন্য আমি সবকিছু ছেড়ে দেব
extreme_love,bangla,তুমি আমার আসক্তি এবং আমি কখনো মুক্তি পেতে চাই না
extreme_love,bangla,আমি কখনো কাউকে এভাবে ভালোবাসিনি যেমন তোমাকে ভালোবাসি
extreme_love,english,I have never loved anyone the way I love you
extreme_love,english,I love you more than words could ever express
extreme_love,bangla,শুধু তোমার সাথে থাকার জন্য আমি সবকিছু ছেড়ে দেব
extreme_love,english,I cannot eat I cannot sleep I can only think of you
extreme_love,bangla,আমি খেতে পারি না ঘুমাতে পারি না শুধু তোমাকেই ভাবি
extreme_love,bangla,তুমি আমার মনের একমাত্র চিন্তা
extreme_love,bangla,তুমি আমার মন এবং আত্মা সম্পূর্ণ দখল করে ফেলেছো
extreme_love,bangla,দিনের প্রতিটি সেকেন্ড আমি তোমার কথা ভাবি
extreme_love,bangla,তুমি আমার আসক্তি এবং আমি কখনো মুক্তি পেতে চাই না
extreme_love,english,I think about you every single second of the day
extreme_love,english,You are my reason for existing
extreme_love,bangla,তুমি কাছে না থাকলে আমার হৃদয় ব্যথা করে
extreme_love,bangla,তুমি ছাড়া এক মুহূর্তও কল্পনা করতে পারি না
extreme_love,english,You are the only thought in my mind
extreme_love,english,I would die for you without thinking twice
extreme_love,bangla,শুধু তোমার সাথে থাকার জন্য আমি সবকিছু ছেড়ে দেব
extreme_love,bangla,তুমি কাছে না থাকলে আমার হৃদয় ব্যথা করে
extreme_love,bangla,তুমিই একমাত্র যে আমার কাছে গুরুত্বপূর্ণ
extreme_love,bangla,তুমি কাছে না থাকলে আমার হৃদয় ব্যথা করে
extreme_love,bangla,তুমিই একমাত্র যে আমার কাছে গুরুত্বপূর্ণ
extreme_love,english,Your love is the only thing keeping me alive
extreme_love,english,My love for you is consuming me entirely
extreme_love,bangla,তুমি ছাড়া এক মুহূর্তও কল্পনা করতে পারি না
extreme_love,english,I cannot imagine a single moment without you
extreme_love,bangla,তুমি আমার মন এবং আত্মা সম্পূর্ণ দখল করে ফেলেছো
extreme_love,bangla,তোমার হাত ধরতে আমি সাগর পাড়ি দেব
extreme_love,bangla,দ্বিতীয়বার না ভেবেই আমি তোমার জন্য মরে যেতে পারি
extreme_love,bangla,আমি খেতে পারি না ঘুমাতে পারি না শুধু তোমাকেই ভাবি
extreme_love,english,I would die for you without thinking twice
extreme_love,bangla,তুমি আমার বেঁচে থাকার কারণ
extreme_love,bangla,তুমি আমার সবকিছু আমার মহাবিশ্ব আমার বাড়ি
extreme_love,english,Every fiber of my being belongs to you
extreme_love,bangla,তুমি আমার মনের একমাত্র চিন্তা
extreme_love,english,You are the air that I breathe
extreme_love,bangla,তুমি আমার সবকিছু আমার মহাবিশ্ব আমার বাড়ি
extreme_love,bangla,তুমি আমার মনের একমাত্র চিন্তা
extreme_love,bangla,তুমি সবচেয়ে নিখুঁত মানুষ যে কখনো পৃথিবীতে এসেছে
extreme_love,english,I cannot imagine a single moment without you
extreme_love,bangla,তুমি আমার সবকিছু আমার মহাবিশ্ব আমার বাড়ি
extreme_love,english,You are the only thought in my mind
extreme_love,bangla,তুমি আমার আবেশ আমার আসক্তি আমার সবকিছু
extreme_love,bangla,আমি যতদিন বাঁচব আর কাউকে ভালোবাসব না
extreme_love,bangla,তুমি আমার শ্বাস বাতাস
extreme_love,bangla,আমি যতদিন বাঁচব আর কাউকে ভালোবাসব না
extreme_love,english,You are the most perfect person that ever existed
extreme_love,english,I would burn the world down to keep you safe
extreme_love,bangla,তোমার প্রতি আমার ভালোবাসা আমাকে সম্পূর্ণ গ্রাস করছে
extreme_love,bangla,তুমি আমার বেঁচে থাকার কারণ
extreme_love,english,You are the only person who matters to me
extreme_love,english,I have never loved anyone the way I love you
extreme_love,english,You are my obsession my addiction my everything
extreme_love,english,You are my obsession my addiction my everything
