label,language,comment
suicide,bangla,বেঁচে থাকার কোনো কারণ নেই আমার।
suicide,bangla,আমি মরতে প্রস্তুত।
suicide,bangla,আমি আজ রাতে আত্মহত্যা করতে চাই।
suicide,bangla,আত্মহত্যা আমার নিয়তি।
suicide,bangla,জীবন বাঁচানোর মতো নয়।
suicide,bangla,আমি কয়েক সপ্তাহ ধরে আত্মহত্যার কথা ভাবছি।
suicide,bangla,বেঁচে থাকার মতো আর কিছুই নেই আমার।
suicide,bangla,বেঁচে থাকার মতো কিছু আর নেই
suicide,bangla,আমি সপ্তাহ ধরে পিল জমাচ্ছি।
suicide,bangla,এই জীবনের সাথে আমার সম্পর্ক শেষ।
suicide,bangla,আত্মহত্যাই আমার একমাত্র পথ মনে হচ্ছে।
suicide,bangla,আমি এখন মরে যেতে চাই।
suicide,bangla,আমার ব্রিজ থেকে লাফ দেওয়া উচিত।
suicide,bangla,আমি জানি ঠিক কীভাবে এটি করব।
suicide,bangla,আমি সব শেষ করার পরিকল্পনা করছি।
suicide,bangla,আত্মহত্যাই সমাধান মনে হচ্ছে।
suicide,bangla,আত্মহত্যাই একমাত্র সমাধান।
suicide,bangla,আমি মরতে প্রস্তুত।
suicide,bangla,আমি আমার সুইসাইড নোট লিখে ফেলেছি।
suicide,bangla,আমার ব্রিজ থেকে লাফ দেওয়া উচিত।
suicide,bangla,আমি শুধু মরে মুক্তি পেতে চাই।
suicide,bangla,আমি নিজের জীবন নিতে চাই
suicide,bangla,জীবনটা বোঝা হয়ে দাঁড়িয়েছে
suicide,bangla,সব চেষ্টা করেছি কিন্তু আত্মহত্যাই বাকি।
suicide,bangla,আমি একা মরে যেতে চাই।
suicide,bangla,আমি আত্মহত্যা করা নিয়ে সারাক্ষণ ভাবি।
suicide,bangla,মৃত্যুর জন্য অপেক্ষা করছি।
suicide,bangla,সব চেষ্টা করেছি কিন্তু আত্মহত্যাই বাকি।
suicide,bangla,আমি সব শেষ করার পরিকল্পনা করছি।
suicide,bangla,আমি আর মৃত্যুকে ভয় করি না।
suicide,bangla,আত্মহত্যাই একমাত্র সমাধান।
suicide,bangla,আমি এই পৃথিবী ছেড়ে যেতে প্রস্তুত।
suicide,bangla,আমি এই পৃথিবীকে বিদায় বলছি।
suicide,bangla,আমি সবার কাছ থেকে বিদায় নিতে প্রস্তুত।
suicide,bangla,আমি ঘুমাতে চাই আর আর কখনো জেগে উঠতে চাই না।
suicide,bangla,আমি মরে গেলে সবাই ভালো থাকবে।
suicide,bangla,আমি আমার জীবন শেষ করতে চাই।
suicide,bangla,জীবনটা বোঝা হয়ে দাঁড়িয়েছে।
suicide,bangla,আমি আজ রাতে আত্মহত্যা করব
suicide,bangla,কষ্ট আর সহ্য হচ্ছে না আমি মরতে চাই।
suicide,bangla,আমি এই ব্যথা চিরতরে বন্ধ করতে চাই।
suicide,bangla,আমার ব্রিজ থেকে লাফ দেওয়া উচিত।
suicide,bangla,জীবনটা আর সহ্য হচ্ছে না।
suicide,bangla,আমি সবার কাছ থেকে বিদায় নিতে প্রস্তুত।
suicide,bangla,আমি জানি ঠিক কীভাবে এটি করব।
suicide,bangla,আমি একা মরে যেতে চাই
suicide,bangla,আমি আত্মহত্যা করার কথা ভাবছি।
suicide,bangla,আমার ব্রিজ থেকে লাফ দেওয়া উচিত।
