label,language,comment
academic_pressure,english,The syllabus is so huge there is no way I can finish it
academic_pressure,english,The university does not care about student mental health at all
academic_pressure,english,I pull all nighters every single day to finish assignments
academic_pressure,english,I feel like I am in a race that never ends
academic_pressure,bangla,আক্ষরিক অর্থেই কফি আর এনার্জি ড্রিংকে বেঁচে আছি
academic_pressure,english,I have been studying for 12 hours but nothing stays in my head
academic_pressure,bangla,প্রতি সেমিস্টারে চাপ বাড়তেই থাকে
academic_pressure,english,The competition in my class is destroying my mental health
academic_pressure,english,I got 30 percent on my midterm and now I want to disappear
academic_pressure,english,The pressure from my family to perform well is suffocating
academic_pressure,bangla,প্রতিদিন ড্রপ আউট করার কথা ভাবি
academic_pressure,bangla,শেষ কবে ৪ ঘণ্টার বেশি ঘুমিয়েছি মনে নেই
academic_pressure,english,I skipped meals for three days to study for exams
academic_pressure,english,My eyes hurt from staring at books and screens all day
academic_pressure,bangla,আমাদের শিক্ষকরা এত চাপ দেয় এটা অস্বাস্থ্যকর
academic_pressure,english,My eyes hurt from staring at books and screens all day
academic_pressure,english,The university does not care about student mental health at all
academic_pressure,english,I have been studying for 12 hours but nothing stays in my head
academic_pressure,bangla,শেষ কবে ৪ ঘণ্টার বেশি ঘুমিয়েছি মনে নেই
academic_pressure,english,I am so scared of disappointing my parents
academic_pressure,bangla,রিসার্চ পেপার অ্যাসাইনমেন্ট প্রেজেন্টেশন পরীক্ষা শেষ হয় না
academic_pressure,bangla,ক্লাসের প্রতিযোগিতা আমার মানসিক স্বাস্থ্য ধ্বংস করছে
academic_pressure,english,I feel like no matter how hard I study it is never enough
academic_pressure,english,I feel like dropping out every single day
academic_pressure,english,The university does not care about student mental health at all
academic_pressure,bangla,আমার বাবা মাকে হতাশ করার ভয়ে আছি
academic_pressure,bangla,CGPA ৩.৮ রাখতে হবে নইলে স্কলারশিপ চলে যাবে
academic_pressure,bangla,একাডেমিক চাপে আমার কোনো সামাজিক জীবন নেই
academic_pressure,english,I got 30 percent on my midterm and now I want to disappear
academic_pressure,english,The syllabus is so huge there is no way I can finish it
academic_pressure,english,I feel like I am in a race that never ends
academic_pressure,english,I cannot focus because I am so stressed about grades
academic_pressure,bangla,কাল ছয়টি অ্যাসাইনমেন্ট জমা দিতে হবে আর মাত্র ২ ঘণ্টা ঘুমিয়েছি
