label,language,comment
depression,english,I feel like I am losing myself
depression,english,I don't see a future for myself
fall_in_love,bangla,তুমি আমার হৃদয় চুরি করেছো
suicide,english,I am thinking of ways to harm myself
suicide,english,I just want to die and be free
suicide,english,I just want to die peacefully
fall_in_love,bangla,আমি নিজেকে ভাগ্যবান মনে করি তোমাকে পেয়ে
depression,english,I am tired of fighting this battle alone
depression,bangla,কিছু করার শক্তি নেই আমার
fall_in_love,english,You are my sweetest dream
suicide,english,I am ready to say goodbye to everyone
depression,english,I feel like I am suffocating
fall_in_love,english,You are my sweetest dream
fall_in_love,bangla,আমি তোমাকে চিরকাল ধরে রাখতে চাই
suicide,bangla,আমি ইতিমধ্যে যা দরকার কিনে ফেলেছি
depression,bangla,আমি যথেষ্ট ভালো নই মনে হয়
depression,bangla,কেন আমি ভিড়ের মাঝেও একা অনুভব করি
suicide,bangla,আমি এই পৃথিবীকে বিদায় বলছি
suicide,bangla,আমি কাঁদছি আর আমার জীবন শেষ করার কথা ভাবছি
fall_in_love,bangla,আমি তোমাকে গভীরভাবে ভালোবাসি
fall_in_love,bangla,আমি তোমাকে চিরকাল ধরে রাখতে চাই
fall_in_love,bangla,তোমার প্রতি আমার অনুভূতি সত্যি
depression,english,I have no energy to do anything
fall_in_love,bangla,আমি তোমাকে চিরকাল ধরে রাখতে চাই
fall_in_love,bangla,আমি তোমার জন্য খুব বেশি পড়েছি
fall_in_love,english,I am completely drawn to you
depression,bangla,আমার মনটা সব সময় খুব ভারী থাকে
suicide,english,I feel like killing myself is the answer
suicide,bangla,আমি মরে এই পৃথিবী ছেড়ে যেতে চাই
depression,english,I feel like I am all alone in this world
fall_in_love,english,You make my world go round
fall_in_love,english,I never knew love could feel this way
suicide,english,I just want the suffering to end forever
fall_in_love,bangla,তুমি আমাকে সম্পূর্ণ করো
fall_in_love,bangla,তুমি আমার আত্মার সঙ্গী
fall_in_love,english,You are everything I ever wanted
depression,english,I feel so empty and hollow
depression,english,I don't want to talk to anyone
fall_in_love,english,You are the reason I believe in love
fall_in_love,english,Meeting you was the best thing that ever happened to me
depression,bangla,শেষ কবে খুশি ছিলাম আমার মনে নেই
depression,english,I have been crying for days
fall_in_love,english,I am falling for you more every day
depression,english,I feel like I am suffocating
fall_in_love,bangla,তুমি আমার চাওয়া সবকিছু
fall_in_love,bangla,তুমি আমার মধুর স্বপ্ন
depression,english,Everything feels like a struggle
fall_in_love,bangla,তুমি আমাকে আরও ভালো মানুষ হতে অনুপ্রাণিত করো
depression,bangla,শেষ কবে খুশি ছিলাম আমার মনে নেই
depression,bangla,আমি সবকিছুতে ব্যর্থ হচ্ছি
depression,bangla,আমি চেয়েছিলাম আমি অদৃশ্য হয়ে যেতে পারতাম
depression,bangla,আমি এত শূন্য এবং ফাঁপা বোধ করছি
fall_in_love,english,You are the most beautiful person I have ever met
suicide,english,I am not afraid of death anymore
depression,bangla,আমি শুধু চাই ব্যথাটা বন্ধ হোক
fall_in_love,bangla,তুমি আমার দেখা সবচেয়ে সুন্দর মানুষ
depression,english,I feel like I am not good enough
depression,bangla,সবকিছু ধূসর আর শূন্য মনে হচ্ছে
suicide,bangla,আমি আমার শিরা কাটতে চাই
suicide,english,I am crying and thinking about ending my life
fall_in_love,english,You are my greatest adventure
suicide,bangla,আমার আর কিছু আসে যায় না
suicide,english,I have written my suicide note
depression,bangla,আমি প্রতিদিন আরও গভীরে ডুবে যাচ্ছি
suicide,english,I want to die and leave this world behind
depression,bangla,আমি সবকিছুতে ব্যর্থ হচ্ছি
depression,english,I just want to stay in bed forever
fall_in_love,english,I want to spend my life with you
