label,language,comment
extreme_depression,bangla,সুখ কাকে বলে ভুলে গেছি
extreme_depression,english,I have isolated myself from everyone and I do not care
extreme_depression,bangla,সারাক্ষণ বুকে চাপ পড়ে আছে যেন কেউ বসে আছে
extreme_depression,english,I want to sleep and never have to face reality again
extreme_depression,bangla,সবার কাছ থেকে নিজেকে সরিয়ে নিয়েছি আর কিছু যায় আসে না
extreme_depression,bangla,এই পৃথিবীতে আমার জন্য আর কোনো আশা নেই
extreme_depression,english,I have not talked to anyone in weeks
extreme_depression,bangla,এই পৃথিবীতে আমার জন্য আর কোনো আশা নেই
extreme_depression,english,I have lost all interest in my studies my life everything
extreme_depression,english,The darkness inside me is consuming everything
extreme_depression,english,I have stopped responding to everyone I just want to be alone
extreme_depression,bangla,আমার নিজের জীবনও আর গুরুত্বপূর্ণ নয়
extreme_depression,english,I feel like I am sinking in quicksand and no one helps
extreme_depression,english,I cannot even cry anymore I am completely numb
extreme_depression,english,My mind is filled with nothing but sadness and despair
extreme_depression,english,I cannot feel any emotion except sadness anymore
extreme_depression,english,I have not showered in a week because I see no point
extreme_depression,bangla,আমার নিজের জীবনও আর গুরুত্বপূর্ণ নয়
extreme_depression,bangla,পড়াশোনা জীবন সবকিছুর প্রতি আগ্রহ হারিয়ে ফেলেছি
extreme_depression,english,I have isolated myself from everyone and I do not care
extreme_depression,english,My mind is filled with nothing but sadness and despair
extreme_depression,bangla,কয়েক সপ্তাহ ধরে কারো সাথে কথা বলিনি
extreme_depression,bangla,পড়াশোনা জীবন সবকিছুর প্রতি আগ্রহ হারিয়ে ফেলেছি
extreme_depression,english,I feel like someone is sitting on my chest all the time
extreme_depression,english,I want to sleep and never have to face reality again
extreme_depression,english,I feel like I am rotting from the inside out
extreme_depression,english,"I cannot stop crying, the pain is unbearable"
extreme_depression,english,I have stopped responding to everyone I just want to be alone
extreme_depression,english,There is no hope left for me in this world
extreme_depression,bangla,ভিতরের অন্ধকার আমাকে গ্রাস করছে
extreme_depression,bangla,দুঃখ ছাড়া আর কোনো আবেগ অনুভব করতে পারি না
extreme_depression,bangla,প্রতিটি শ্বাস এখন বোঝা মনে হয়
extreme_depression,english,I feel like I am disappearing piece by piece
extreme_depression,bangla,আমার আত্মা মরে গেছে মনে হয়
