label,language,comment
extreme_anxiety,english,Every sound makes me jump I am so on edge
extreme_anxiety,english,I feel dizzy and my vision is blurry from anxiety
extreme_anxiety,english,I cannot control my breathing it keeps getting faster
extreme_anxiety,bangla,আমার হাত uncontrollably কাঁপছে এখন
extreme_anxiety,english,I have a constant knot in my stomach that never goes away
extreme_anxiety,bangla,যত চেষ্টা করি শান্ত হতে পারছি না
extreme_anxiety,english,Every little thing triggers a panic attack in me
extreme_anxiety,bangla,যত চেষ্টা করি শান্ত হতে পারছি না
extreme_anxiety,english,I cannot stop checking everything over and over
extreme_anxiety,english,I cannot sit still I feel like I need to run away
extreme_anxiety,bangla,নিজের ভয় আর আতঙ্কে আটকা পড়ে গেছি
extreme_anxiety,english,I keep thinking the worst possible scenario every time
extreme_anxiety,english,I cannot breathe my chest is tightening up
extreme_anxiety,english,I am terrified of everything and I do not know why
extreme_anxiety,english,I feel like I am going crazy from all this anxiety
extreme_anxiety,bangla,সবকিছু বারবার চেক করা বন্ধ করতে পারি না
extreme_anxiety,bangla,আমার হাত uncontrollably কাঁপছে এখন
extreme_anxiety,bangla,সারা শরীর কাঁপছে আর কেন জানি না
extreme_anxiety,english,I feel like something terrible is about to happen
extreme_anxiety,bangla,আমার স্নায়ু পুরোপুরি ছিঁড়ে গেছে মনে হয়
extreme_anxiety,english,I feel trapped in my own fear and panic
extreme_anxiety,bangla,মনে হয় সবাই আমার দিকে তাকিয়ে বিচার করছে
extreme_anxiety,bangla,নিজের শরীরের নিয়ন্ত্রণ হারিয়ে ফেলছি মনে হয়
extreme_anxiety,bangla,মনে হয় ধীরে ধীরে শ্বাস বন্ধ হয়ে আসছে
extreme_anxiety,bangla,আমার মনের ভিতরে হাজার চিন্তা একসাথে ছুটছে
extreme_anxiety,english,The anxiety is so bad I feel physically sick
extreme_anxiety,english,I cannot control my breathing it keeps getting faster
extreme_anxiety,bangla,স্থির হয়ে বসে থাকতে পারছি না দৌড়ে পালাতে চাই
extreme_anxiety,bangla,মাথা ঘুরছে দৃষ্টি ঝাপসা হয়ে আসছে উদ্বেগে
extreme_anxiety,english,My hands are shaking uncontrollably right now
