emotion,language,comment
anxious,english,I feel so stressed out
love,english,You make my heart smile
sad,bangla,আমি কারো কাজে লাগি না
surprised,english,Never in a million years
sad,english,Why me?
anxious,english,Worst feeling ever
sad,english,Can't stop crying
love,english,You are my forever person
surprised,english,Are you serious?
happy,english,What a blessing!
neutral,english,Need to charge my laptop
happy,bangla,আজকের দিনটা স্পেশাল
love,english,I adore you
love,bangla,তোমার হাসি আমার পৃথিবী
sad,bangla,কেউ আমাকে ভালোবাসে না
neutral,bangla,ল্যাপটপ চালু করলাম
love,bangla,আমি তোমাকে মিস করি
sad,english,So tired of all this
happy,english,Perfect moment captured
neutral,bangla,কাল শপিং এ যাব
happy,english,Feeling on top of the world
angry,bangla,এভাবে চলতে দেব না
love,bangla,তুমি আমার সবকিছু
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
love,english,You are the best thing that ever happened to me
angry,english,You crossed the line
neutral,english,Nothing new to report
anxious,english,What will happen next?
love,bangla,আমি তোমাকে অনেক ভালোবাসি
sad,bangla,হারিয়ে যাচ্ছি
angry,english,So sick of this nonsense
neutral,bangla,ছবি দেখলাম ফেসবুকে
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
surprised,english,Never in a million years
surprised,bangla,কি বলছ! এটা সত্যি?
sad,english,This world is cruel
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
angry,bangla,সাবধান করছি!
sad,english,I just want to disappear
love,bangla,তোমার স্পর্শে স্বর্গ
angry,english,What a waste of time
sad,english,Everything is falling apart
angry,english,I am done with this
surprised,english,What a revelation!
neutral,bangla,বৃষ্টি হচ্ছে আজকে
sad,bangla,সব হারিয়ে ফেলেছি
neutral,bangla,কাল শপিং এ যাব
love,bangla,তুমি আমার অস্তিত্ব
surprised,bangla,আমি তো ভাবতেই পারিনি
anxious,english,What if I fail?
love,english,You are loved beyond measure
angry,english,I can't believe this!
neutral,bangla,মোবাইল চার্জ দিচ্ছি
surprised,english,Wow I did not see that coming!
sad,bangla,কিছুই ভালো লাগছে না
angry,english,So angry I can't even think straight
anxious,bangla,স্ট্রেসে আছি খুব
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
surprised,bangla,এটা কল্পনাতীত!
sad,english,Why does this keep happening
happy,english,Everything is going my way
sad,english,Feeling empty inside
anxious,english,My mind won't stop racing
love,english,Love you to the moon and back
neutral,english,Listening to some music
surprised,english,No way!
sad,bangla,কিছুই ভালো লাগছে না
surprised,bangla,আমি তো অবাক!
happy,bangla,সাফল্যের স্বাদ মধুর
neutral,bangla,অফিস যাচ্ছি এখন
sad,english,Why me?
angry,bangla,এটা শেষ নয় শুরু
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
angry,english,I am furious right now
love,bangla,তুমি আমার সমগ্র বিশ্ব
love,bangla,তুমি আমার প্রেরণা
sad,bangla,জীবন থেকে ক্লান্ত
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
love,english,I adore you
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
happy,bangla,ভীষণ ভালো লাগছে
sad,english,I feel so lonely today
angry,english,Enough is enough!
anxious,english,I feel like something bad will happen
surprised,bangla,বাহ! এটা তো দারুণ!
angry,bangla,এটা আমি ভুলব না
sad,bangla,কিছুই পরিবর্তন হয় না
anxious,english,Worst feeling ever
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
angry,english,Enough is enough!
neutral,english,Going to work now
surprised,english,I never expected this to happen
