label,language,comment
work_pressure,bangla,আমার ম্যানেজার দিন রাত ২৪ ঘণ্টা পাওয়ার আশা করে
work_pressure,english,I cannot even take a bathroom break without feeling guilty
work_pressure,english,I had a panic attack in the office bathroom yesterday
work_pressure,bangla,দুই মাসে একটি দিনও ছুটি নেই আমার
work_pressure,english,I am burning out and nobody in the office cares
work_pressure,bangla,কাজের এত চাপ যে রাতে ঘুমাতে পারি না
work_pressure,english,My phone never stops ringing with work calls even at night
work_pressure,english,They expect us to work overtime without any extra pay
work_pressure,bangla,ছুটি নিতে ভয় লাগে কারণ চাকরি চলে যেতে পারে
work_pressure,bangla,ছুটির দিনেও ইমেইলের উত্তর দিতে হয়
work_pressure,english,My manager expects me to be available 24 hours a day
work_pressure,english,I have developed severe back pain from sitting all day
work_pressure,bangla,বাথরুম ব্রেক নিতেও দোষী বোধ করি
work_pressure,bangla,আমার বস সবসময় কাজ চাপিয়ে যাচ্ছে আর সহ্য হচ্ছে না
work_pressure,english,I am afraid to take sick leave because I might get fired
work_pressure,bangla,নিজের জন্মদিন ভুলে গেছি কাজে এত ব্যস্ত ছিলাম
work_pressure,bangla,কাজের এত চাপ যে রাতে ঘুমাতে পারি না
work_pressure,bangla,আমি মানুষ না মেশিন তা নিয়ে সন্দেহ হয়
work_pressure,english,My health is deteriorating because of this job
work_pressure,bangla,কাজের এত চাপ যে রাতে ঘুমাতে পারি না
work_pressure,english,My manager expects me to be available 24 hours a day
work_pressure,bangla,টানা ১৬ ঘণ্টা কাজ করছি আমি সম্পূর্ণ ক্লান্ত
work_pressure,english,I am afraid to take sick leave because I might get fired
work_pressure,english,I have not had a single day off in two months
work_pressure,bangla,প্রতিদিন চাকরি ছেড়ে দেওয়ার কথা ভাবি
work_pressure,bangla,আমার ম্যানেজার দিন রাত ২৪ ঘণ্টা পাওয়ার আশা করে
work_pressure,bangla,এই চাকরির কারণে আমার স্বাস্থ্য ভেঙে যাচ্ছে
work_pressure,english,I have not had a single day off in two months
work_pressure,bangla,সপ্তাহে ৭ দিন কাজ করি কোনো বিরতি নেই
work_pressure,bangla,কাজের চাপ আমাকে ধীরে ধীরে চূর্ণ করছে
work_pressure,bangla,ম্যানেজমেন্টের চাপ সহ্যের বাইরে
work_pressure,english,I wake up at 5am and work until midnight every day
work_pressure,bangla,ডেডলাইনগুলো অসম্ভব শেষ করা যাবে না কোনোভাবেই
work_pressure,english,They expect us to work overtime without any extra pay
work_pressure,bangla,সারাদিন বসে থাকতে থাকতে প্রচন্ড পিঠের ব্যথা হয়েছে
work_pressure,bangla,আমার বস সবসময় কাজ চাপিয়ে যাচ্ছে আর সহ্য হচ্ছে না
work_pressure,bangla,ছুটি নিতে ভয় লাগে কারণ চাকরি চলে যেতে পারে
work_pressure,bangla,এই চাকরি আক্ষরিক অর্থেই আমাকে মেরে ফেলছে
work_pressure,english,I wake up at 5am and work until midnight every day
work_pressure,bangla,ডেডলাইনগুলো অসম্ভব শেষ করা যাবে না কোনোভাবেই
work_pressure,english,I am working 7 days a week with no breaks
